DATE,VALUE
1947,243.1
1948,266.2
1949,275.4
1950,281.2
1951,336.4
1952,360.2
1953,388.5
1954,385.9
1955,413.8
1956,440.5
1957,470.6
1958,468.4
1959,511.1
1960,543.3
1961,545.9
1962,595.2
1963,622.7
1964,671.1
1965,719.2
1966,797.3
1967,846
1968,911.1
1969,995.4
1970,1053.5
1971,1137.8
1972,1233.8
1973,1380.7
1974,1494.7
1975,1619.6
1976,1824.5
1977,1992.5
1978,2208.7
1979,2531.6
1980,2796.5
1981,3131.8
1982,3273.8
1983,3480.3
1984,3912.8
1985,4237
1986,4516.3
1987,4736.2
1988,5090.6
1989,5527.4
1990,5890.8
1991,6054.9
1992,6380.8
1993,6748.2
1994,7136.3
1995,7545.3
1996,7893.1
1997,8402.1
1998,8889.7
1999,9447.1
2000,10031
2001,10508.1
2002,10834.4
2003,11230.1
2004,11988.4
2005,12813.7
2006,13648.9
2007,14233.2
2008,14668.4
2009,14383.9
2010,14681.1
2011,15238.4
2012,15973.9
2013,16475.4
2014,17025.2
2015,17783.6
2016,18281.6
